Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
55014-84702,SG,Lonnie,Lonnie Walker,Walker,18.26400024,25,3500,SA@OKC,SA,OKC,,,
55014-84707,SF,Chandler,Chandler Hutchison,Hutchison,5.857142857,7,3500,MIN@CHI,CHI,MIN,GTD,Personal,
55014-58083,C,Jahlil,Jahlil Okafor,Okafor,7.991666794,12,3500,DET@NO,DET,NO,O,Knee,
55014-110309,SF,KZ,KZ Okpala,Okpala,4.5625,16,3500,TOR@MIA,MIA,TOR,,,
55014-110308,SF,Jarrell,Jarrell Brantley,Brantley,2.349999905,8,3500,LAL@UTA,UTA,LAL,,,
55014-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,12.3200002,30,3500,DET@NO,DET,NO,,,
55014-145643,SG,Mason,Mason Jones,Jones,9.505263479,19,3500,HOU@CLE,HOU,CLE,,,
55014-110827,SG,Matt,Matt Thomas,Thomas,3.988889058,18,3500,TOR@MIA,TOR,MIA,,,
55014-110829,SG,Brian,Brian Bowen,Bowen,4.199999809,1,3500,GS@IND,IND,GS,,,
55014-84719,SG,Aaron,Aaron Holiday,Holiday,12.83793061,29,3500,GS@IND,IND,GS,,,
55014-110319,PG,Tremont,Tremont Waters,Waters,7.89999983,9,3500,BOS@ATL,BOS,ATL,,,
55014-110318,PF,Grant,Grant Williams,Williams,11.76,25,3500,BOS@ATL,BOS,ATL,,,
55014-110321,SG,Romeo,Romeo Langford,Langford,5.771874905,32,3500,BOS@ATL,BOS,ATL,O,Wrist,
55014-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,8.800000191,1,3500,LAL@UTA,LAL,UTA,,,
55014-110324,SG,Miye,Miye Oni,Oni,4.424999873,24,3500,LAL@UTA,UTA,LAL,,,
55014-23798,SG,Caris,Caris LeVert,LeVert,35.28333282,12,3500,GS@IND,IND,GS,O,Abdomen,
55014-85238,SG,Yuta,Yuta Watanabe,Watanabe,9.855000305,20,3500,TOR@MIA,TOR,MIA,,,
55014-110329,PF,Bruno,Bruno Fernando,Fernando,6.856249809,16,3500,BOS@ATL,ATL,BOS,,,
55014-110331,SG,Ty,Ty Jerome,Jerome,8.361290716,31,3500,SA@OKC,OKC,SA,,,
55014-110332,PG,Carsen,Carsen Edwards,Edwards,7.77692296,13,3500,BOS@ATL,BOS,ATL,,,
55014-110338,SF,De'Andre,De'Andre Hunter,Hunter,29.96666802,18,3500,BOS@ATL,ATL,BOS,O,Knee,
55014-110348,SG,Quinndary,Quinndary Weatherspoon,Weatherspoon,1.580000019,5,3500,SA@OKC,SA,OKC,O,Covid-19,
55014-19726,SF,Abdel,Abdel Nader,Nader,10.6799998,15,3500,CHA@PHO,PHO,CHA,GTD,Thumb,
55014-110350,PF,Jalen,Jalen McDaniels,McDaniels,8.049999873,12,3500,CHA@PHO,CHA,PHO,,,
55014-110359,C,Goga,Goga Bitadze,Bitadze,10.869231,13,3500,GS@IND,IND,GS,,,
55014-110365,PF,Alen,Alen Smailagic,Smailagic,8.635714395,14,3500,GS@IND,GS,IND,,,
55014-58658,SG,Patrick,Patrick McCaw,McCaw,1.5,1,3500,TOR@MIA,TOR,MIA,,,
55014-110883,PF,Dean,Dean Wade,Wade,5.258333206,24,3500,HOU@CLE,CLE,HOU,,,
55014-110882,SG,Adam,Adam Mokoka,Mokoka,4.114285605,7,3500,MIN@CHI,CHI,MIN,,,
55014-16178,SF,Maurice,Maurice Harkless,Harkless,4.629999924,10,3500,TOR@MIA,MIA,TOR,,,
55014-15669,C,Meyers,Meyers Leonard,Leonard,6.46666654,3,3500,TOR@MIA,MIA,TOR,O,Shoulder,
55014-16183,PF,JaKarr,JaKarr Sampson,Sampson,5.399999765,13,3500,GS@IND,IND,GS,,,
55014-82744,PG,Shaquille,Shaquille Harrison,Harrison,2.488235249,17,3500,LAL@UTA,UTA,LAL,,,
55014-145730,SG,Nate,Nate Darling,Darling,,,3500,CHA@PHO,CHA,PHO,,,
55014-17230,SG,Langston,Langston Galloway,Galloway,6.927999878,25,3500,CHA@PHO,PHO,CHA,,,
55014-145745,C,Will,Will Magnay,Magnay,,,3500,DET@NO,NO,DET,,,
55014-15727,SG,Ben,Ben McLemore,McLemore,10.9047619,21,3500,HOU@CLE,HOU,CLE,,,
